sufix,count
repane,174
orepane,174
ũme,1149
imary,586
rimary,264
arimary,264
uno,597
hro,95
ahro,67
mahro,30
nokyro,98
sake,78
osake,60
tohpyry,868
yike,54
pyike,54
apyike,54
tapyike,54
pakety,13
epakety,13
toxi,47
pome,340
hpome,76
ãhpome,49
ẽse,126
nẽse,120
onẽse,120
ipe,499
oipe,224
ẽnõko,47
nẽnõko,33
onẽnõko,33
ẽpyry,24
pẽpyry,7
moro,238
rine,54
yrine,54
tyrine,40
otyrine,40
waka,152
awaka,152
nawaka,152
anawaka,152
tyrise,120
õtyrise,120
nawa,180
anawa,180
wao,49
awao,49
nawao,49
anawao,49
yhnõko,172
õpakase,24
ohko,283
nohko,122
ynohko,16
pynohko,16
erỹko,48
matou,168
ohkane,150
yhpãko,20
nyhpãko,20
nytyme,24
ynytyme,24
rõkõ,585
arõkõ,396
marõkõ,113
ãno,47
pãno,22
hpãno,22
yhpãno,22
nyhpãno,22
rehkase,779
rapõkõ,73
arapõkõ,10
epy,115
kepy,115
rehse,1017
erehse,270
serehse,270
pãkomo,96
hpãkomo,96
tomase,166
tohpo,354
atohpo,236
katohpo,190
opoko,178
ropoko,159
ururume,320
eryse,72
neryse,72
yneryse,72
pyã,134
ẽpyã,23
sẽpyã,16
asẽpyã,16
rasẽpyã,16
taryme,1077
etaryme,1057
tapõkõ,348
atapõkõ,328
sae,82
uohne,7
kuohne,7
kapỹ,59
hkapỹ,50
ihkapỹ,40
aihkapỹ,40
ueh,75
tueh,51
apoe,42
unuru,3283
tunuru,3069
itunuru,2823
rãkara,755
urãkara,755
opyny,56
topyny,56
ytopyny,30
myra,366
omyra,214
romyra,207
aromyra,207
rypyry,1164
orypyry,120
tõkomo,677
atõkomo,154
htory,404
ihtory,28
oihtory,28
emãko,675
remãko,409
eremãko,409
ytoko,41
oytoko,32
toytoko,32
nome,377
hnome,255
kororo,126
akororo,126
okary,201
rokary,120
orokary,120
epõko,353
nepõko,353
erykõme,734
irypyry,168
ãty,29
wãty,25
nỹko,30
ỹpo,490
nỹpo,171
ynỹpo,160
pynỹpo,160
opynỹpo,84
ateu,55
wenu,600
owenu,600
itoh,84
oitoh,56
poitoh,56
oine,743
poine,66
rũme,120
erũme,120
nerũme,120
inerũme,120
tuhse,230
rũ,683
erũ,565
nerũ,565
inerũ,565
inanomo,82
eza,132
hketõ,358
ohketõ,275
rohketõ,264
uhne,80
zuhne,6
pi,252
arõ,66
õtatoko,24
uke,529
ruke,403
uruke,177
ruruke,119
ururuke,119
nyhmara,160
nyhmãko,260
kato,289
akato,120
xihkase,136
nato,418
enato,192
senato,192
asenato,192
ĩnõko,18
xĩnõko,18
ixĩnõko,18
tahmase,22
ihkãko,104
xihkãko,62
imase,470
ximase,154
oximase,48
tae,196
ukuru,747
isenã,463
risenã,448
yrisenã,448
typyry,42
mõko,248
hmõko,22
ãnõko,597
uãnõko,38
kuãnõko,24
ikãko,161
nikãko,102
hnikãko,92
ikara,71
nikara,40
hnikara,40
uxiry,138
muxiry,138
amuxiry,138
ẽxiry,60
ihno,51
rihno,42
orihno,42
aroro,2737
maroro,2454
omaroro,2454
2me,108
amyry,530
mamyry,530
imamyry,369
nume,57
unume,24
tone,2580
ỹtone,104
apo,168
kapo,116
ykapo,66
piry,68
hpiry,36
uhmase,686
muhmase,134
mane,237
hmane,124
uhmane,46
nuhmane,46
kakoxi,103
ỹkakoxi,88
uku,48
ue,251
onanomo,211
taketõ,83
itaketõ,16
ũtatoko,36
ihpyra,1292
rihpyra,1292
opitose,104
ũtase,440
tũtase,440
utũtase,440
okoxi,506
pokoxi,152
hpokoxi,152
mõne,24
omõne,24
nomõne,24
ynomõne,24
ỹse,278
nỹse,257
mãse,776
emãse,433
semãse,359
õsemãse,344
rỹpyry,285
arỹpyry,136
hu,238
ohu,238
tohu,238
atohu,230
matohu,70
nako,324
ynako,294
nuhmase,522
nero,312
unero,312
rẽkara,242
irẽkara,40
pã,236
hpã,228
ohpã,178
kohpã,126
okohpã,126
rokohpã,126
pano,102
hpano,79
ohpano,79
kohpano,33
ere,247
kere,97
ekere,97
erara,48
unato,104
punato,104
upunato,104
otõkõ,400
rotõkõ,392
orotõkõ,392
ẽkãkara,20
hkehse,274
ehkehse,81
pery,253
ỹtohme,65
nỹtohme,65
iã,399
xiã,394
oxiã,330
2mãkõ,132
ohmane,14
rony,113
orony,113
korony,113
akorony,64
ripe,270
iripe,270
meu,48
omeu,36
romeu,36
oromeu,36
toromeu,36
upeu,25
ãmary,46
kãmary,46
akãmary,46
iote,110
riote,110
ariote,110
kariote,110
pono,711
hpono,300
ahpono,150
kahpono,78
imehnõ,247
eimehnõ,205
ahse,893
tahse,35
ytahse,35
osẽkõ,216
atatoko,88
otatose,139
ihtyã,664
rihtyã,664
orihtyã,664
atyã,985
tatyã,73
otatyã,48
motatyã,48
ehke,168
pehke,126
opehke,126
rata,114
arata,114
arara,184
sarara,184
isarara,184
akara,128
upõkomo,171
patu,18
apatu,18
xike,321
yxike,16
myxike,16
ymyxike,16
tuhtoko,64
ukõme,453
tukõme,230
itukõme,230
pekõme,41
epekõme,33
otohkõ,90
totohkõ,56
taõkõ,482
otaõkõ,126
rotaõkõ,126
itaõkõ,60
yitaõkõ,60
toine,672
itoine,672
oitoine,672
rõme,326
arõme,161
marõme,89
ymarõme,40
mirykõ,550
jãkõ,9
ajãkõ,9
tajãkõ,9
ãtajãkõ,9
uhtohme,1453
mapõkõ,176
omapõkõ,176
orapõkõ,30
ropõkõ,880
eropõkõ,824
natu,136
enatu,128
wenatu,128
owenatu,128
rehpyra,684
ukurukõ,157
zuhnõko,233
zukuru,95
zuhpyra,380
wokãko,123
ikõ,48
uikõ,19
ruikõ,19
uruikõ,7
ũkõ,803
poenõ,216
ypoenõ,98
apõko,1440
mapõko,422
hmapõko,199
ypõkõ,40
rypõkõ,40
arypõkõ,40
epara,119
repara,119
orepara,119
nekõ,503
anekõ,357
panekõ,160
epanekõ,150
amehxo,791
samehxo,780
kome,119
okome,92
rokome,8
orokome,8
ẽtyã,49
nẽtyã,49
onẽtyã,49
puti,16
iputi,16
tiputi,16
utiputi,16
umakãko,25
uahtao,1463
nukõ,55
enukõ,48
zenukõ,48
uzenukõ,48
yne,132
pyne,132
ypyne,132
ỹke,300
pỹke,128
ipỹke,128
xipỹke,128
hxipỹke,128
peme,350
epeme,205
sepeme,133
okapose,68
iehno,329
xiehno,329
sekõ,36
ysekõ,36
otykõ,30
notykõ,24
enotykõ,24
ekyry,1127
yekyry,175
motye,121
ẽxirykõ,16
ũkurukõ,46
ĩkõ,407
yĩkõ,345
pyĩkõ,345
apyĩkõ,345
tapyĩkõ,345
ahmãko,221
eahmãko,24
ehpose,588
nehpose,558
rona,168
arona,168
onanõ,428
ronanõ,229
aronanõ,144
nimã,21
enimã,21
uenimã,21
itume,430
mitume,430
amitume,430
2mãkomo,104
tyorõ,24
otyorõ,24
yotyorõ,24
opone,53
ropone,26
yh,289
kyh,71
okyh,42
nokyh,42
ahno,264
orome,61
norome,21
imãko,1317
ximãko,677
aximãko,677
nah,104
anah,96
nanah,96
rihpyry,721
xikihme,84
tato,383
mãnõko,440
emãnõko,334
õtãko,74
rõtãko,63
arõtãko,63
osẽkomo,48
ky,684
oky,551
noky,445
nery,293
oatose,342
toatose,91
ãkety,10
mãkety,10
emãkety,10
naru,8
anaru,8
nanaru,8
ananaru,8
seh,6
eseh,6
neseh,6
mãpyra,663
emãpyra,622
iano,81
xiano,81
exiano,81
nexiano,81
umũkuru,1056
utyã,79
rutyã,79
urutyã,79
nurutyã,63
kã,327
okã,146
nokã,15
kaketõ,12
ikaketõ,12
kahtoh,154
ekahtoh,154
õtuhse,140
nẽpyra,116
kohpe,153
okohpe,153
rokohpe,153
nahpyry,139
tukuru,46
õtukuru,24
ẽkãko,77
yẽkãko,77
tyẽkãko,77
iase,3860
xiase,3527
exiase,2867
urehse,747
kurehse,747
tũ,157
etũ,122
hẽ,51
yhẽ,48
ĩpõkomo,24
hene,114
yhene,114
eatose,27
neatose,27
opõkomo,534
isẽ,228
põkõme,177
upõkõme,56
runo,93
iropõkõ,24
õpõkõ,53
tõpõkõ,44
itõpõkõ,24
ãnopyry,155
ũpõkomo,26
sehxo,159
osehxo,36
tosehxo,29
parykõ,330
yparykõ,63
yahse,42
paryke,129
eparyke,110
uhtoh,1392
puhtoh,704
upuhtoh,697
ohxo,689
rohxo,298
arohxo,290
uarohxo,248
rone,272
arone,201
karone,185
ekarone,59
ãmo,25
yãmo,25
tyãmo,25
atyãmo,14
katyãmo,14
ehtoko,148
sehtoko,104
aehse,16
taehse,16
otaehse,16
ekehse,172
nekehse,172
inety,55
xinety,45
oxinety,45
uimary,21
aehpyra,27
ytotoko,10
yhtyã,8
myhtyã,8
emyhtyã,8
mananõ,363
imananõ,63
porykõ,385
hporykõ,67
zohme,8
hzohme,8
ohzohme,8
xĩpo,1450
axĩpo,483
akuroko,271
hae,607
ohae,607
tohae,607
atohae,600
matohae,600
yhkase,258
tyhkase,198
yrykõme,231
upi,229
yhkary,56
eko,130
neko,130
karyke,68
hkaryke,28
rukõme,214
urukõme,214
apananõ,27
iropyra,688
ehtoh,1017
kykõ,97
ekykõ,73
matoh,729
ematoh,223
rematoh,200
mahpyry,303
hxirory,83
tatou,200
ytatou,147
pukase,327
epukase,297
amã,160
ramã,45
upone,24
rupone,24
urupone,24
ohmako,18
pohmako,10
pohmase,11
etato,98
setato,98
mõme,434
imõme,434
ximõme,434
atone,845
patone,143
apatone,80
emame,62
memame,26
ymemame,15
amaro,356
zamaro,127
zae,13
azae,6
yazae,6
ataõkõ,35
mataõkõ,20
oriry,282
moriry,161
hkasẽ,53
ahkasẽ,33
tahkasẽ,8
apopyra,935
yrykõke,115
ãtyã,46
mãtyã,29
emãtyã,29
remãtyã,20
mime,13
emime,13
pitiko,10
apitiko,10
kapõko,999
hkapõko,387
osẽkõme,416
nehne,6
urẽkara,180
epu,49
zepu,49
uzepu,49
euzepu,49
rupõkõ,80
urupõkõ,80
apoĩko,57
tapoĩko,50
nahkãko,148
oropõkõ,32
poxi,27
upoxi,18
rupoxi,18
urupoxi,18
myhse,277
ymyhse,277
rehmara,245
nepyry,14
noino,171
inoino,171
winoino,136
ehkãko,243
kehkãko,188
unohse,346
ounohse,168
rykase,167
arykase,160
ahme,309
rahme,222
yrahme,106
pyrahme,85
upõko,99
rupõko,99
urupõko,99
epoko,86
nepoko,86
epopyra,110
aimo,45
naimo,28
anaimo,28
nahse,316
onahse,252
uao,669
ruao,637
eruao,637
seruao,637
akuru,78
uakuru,28
mehnõko,24
epõkõ,70
wepõkõ,30
iwepõkõ,30
aẽkõ,20
naẽkõ,20
enaẽkõ,20
renaẽkõ,20
ũtãko,114
iake,57
xiake,48
axiake,48
iaxiake,48
osaryme,16
sahpyry,212
umehse,27
tumehse,27
amãko,118
ramãko,21
arise,66
sarise,66
esarise,66
uhtao,842
ruhtao,835
uruhtao,835
oehne,8
noehne,8
ynoehne,8
tururu,638
õtururu,112
rãnao,86
arãnao,68
kah,32
okah,20
nokah,6
hmãpyra,27
porohne,36
pio,120
hpio,120
hturu,466
uhturu,466
pahse,99
ypahse,35
puhturu,200
iri,243
kiri,60
ikiri,60
xikiri,60
uxikiri,60
htase,404
ahtase,77
hkopyra,144
onome,13
ihpe,20
rihpe,13
irihpe,13
kirihpe,13
ymise,18
pyhpyry,293
rytase,60
erytase,60
epãko,726
repãko,726
orepãko,726
hpỹ,30
uhpỹ,24
puhpỹ,24
upuhpỹ,24
tupuhpỹ,24
kohxo,243
ãkohxo,36
pãkohxo,12
kehnõko,304
imãkõ,197
pimãkõ,24
upimãkõ,24
etara,596
netara,582
anarykõ,50
ỹmã,6
mỹmã,6
imỹmã,6
makety,24
hmakety,24
ehtory,119
uhtory,104
puhtory,104
ũpore,72
htara,49
ihpã,13
rihpã,13
irihpã,13
kirihpã,13
ekãko,481
mekãko,352
umekãko,352
hmã,123
ahmã,68
kahmã,40
ykahmã,40
rykahmã,40
ãsa,56
tupi,201
utupi,156
ykapose,10
nyhse,217
ynyhse,217
iku,301
iiku,154
riiku,154
iriiku,154
oepase,133
tokoino,72
etõkara,29
ukãko,70
exĩ,60
ãne,97
tãne,87
itãne,14
xitãne,14
kananõ,54
ukananõ,16
hketomo,142
htary,47
itatu,40
xitatu,40
oxitatu,40
ihtãko,51
xihtãko,41
ihtase,119
rihtase,22
nahxo,108
onahxo,21
ponahxo,21
xie,11
oxie,11
utãko,58
rutãko,44
orutãko,24
oume,10
yise,7
kyise,7
okyise,7
noro,404
inoro,284
oinoro,284
moinoro,46
oturu,12
pako,262
epako,211
repako,211
orepako,211
kaneme,370
ykaneme,18
tupime,14
hnanomo,263
pekara,7
sahkãko,30
iakãko,230
piakãko,230
ohpõkõ,65
pohpõkõ,24
nare,72
anare,72
panare,72
ypanare,72
myhpyry,196
nene,56
amõko,79
kamõko,42
oitohme,427
enery,123
penery,67
ỹpenery,32
ruimo,106
uruimo,106
suruimo,54
rano,120
urano,120
kahne,17
ekahne,17
pekahne,17
etãko,132
netãko,112
enetãko,112
nymyry,35
hta,36
ehta,30
sehta,6
pehse,14
ypehse,14
ỹnanomo,18
ohnõ,116
rãko,6
urãko,6
htou,220
uhtou,93
puhtou,84
upuhtou,84
eparykõ,238
ykyryry,96
tokomo,253
atokomo,105
sero,422
osero,381
ĩtaõkõ,156
yĩtaõkõ,156
rehne,66
urehne,55
kurehne,55
naõkõ,14
ãnaõkõ,14
ipose,462
oipose,36
poipose,36
pykase,8
ypykase,8
tia,135
otia,60
rotia,48
poino,25
apoino,8
sapoino,8
rio,49
ario,40
sario,20
esario,20
wesario,20
uxĩpo,65
ruxĩpo,65
uruxĩpo,65
puhpyry,297
nyhmase,298
hpyã,30
ohpyã,30
tohpyã,30
etohpyã,30
wae,84
awae,84
nawae,84
anawae,84
osae,50
upu,93
unase,187
punase,187
upunase,187
mãno,25
hmãno,9
ohmãno,9
kohmãno,9
tuhtoh,597
nehtoko,32
ohkase,170
tohkase,147
ahpo,122
mahpo,114
pare,99
apare,99
sapare,99
esapare,99
ĩpyry,177
oĩpyry,168
koĩpyry,168
anỹse,222
uto,55
umary,77
zumary,22
azumary,22
akehse,223
makehse,60
hmãse,158
ohmãse,158
kohmãse,144
tiri,144
atiri,144
ratiri,144
uratiri,144
itory,78
pitory,78
apitory,31
nõmase,16
unõmase,16
ryhpyry,45
ohtase,114
kohtase,114
uaroko,14
mỹke,166
omỹke,160
romỹke,90
aromỹke,90
ahkane,26
rahkane,26
rarah,36
ararah,36
pararah,27
kakehse,85
hpãse,88
yhpãse,88
nyhpãse,88
yhme,184
nyhme,168
ynyhme,168
ahmary,78
uohse,100
kuohse,100
akuohse,100
ezare,24
nezare,24
enezare,24
otõkomo,300
epõkomo,83
kãkomo,207
hkãkomo,189
hxĩpo,787
ahxĩpo,28
mahxĩpo,10
ikehse,140
nikehse,90
karoro,151
ikaroro,143
sakõ,55
ihtohme,222
pyryke,278
opyryke,39
õmãko,109
rõmãko,109
orõmãko,91
neke,148
yneke,70
ryneke,70
yryneke,70
ryryme,76
yryryme,76
oipyra,410
poipyra,334
ãmãko,165
kãmãko,150
akãmãko,150
rõmase,105
orõmase,73
ãmase,252
kãmase,208
akãmase,208
akene,48
ukapõko,8
kahme,65
ykahme,55
rykahme,10
ĩno,15
xĩno,6
exĩno,6
pukãko,52
nure,170
onure,162
ỹtaka,6
akurukõ,20
uekase,7
ymehxo,277
rymehxo,277
onãko,27
tonãko,27
atonãko,27
mahpyra,60
tokoxi,330
ũtokoxi,68
itõ,64
ãpono,9
aãpono,9
naãpono,9
ỹpyryme,191
rimãko,640
arimãko,640
etapỹ,21
netapỹ,21
ikato,117
aikato,117
naikato,117
htokoxi,262
kyme,40
teume,182
uteume,182
uhno,143
puhno,105
upuhno,105
tupuhno,105
tohnõ,21
ytohnõ,9
oytohnõ,9
axiry,113
okye,24
tokye,24
etokye,24
setokye,24
ahnomo,34
apynỹpo,16
une,310
pune,110
epune,49
sepune,49
xihpyry,369
ahke,77
nahke,42
ynahke,42
opory,323
ropory,156
tuhmara,42
tatohu,16
ytatohu,16
tohkane,10
motohme,60
akane,74
iakane,16
piakane,16
katã,6
akatã,6
irarame,50
eimo,226
keimo,91
akeimo,91
utatoh,63
rutatoh,63
eya,190
seya,190
nehpyra,20
uh,151
kuh,90
ukuh,90
apoase,72
mapoase,45
iatose,1234
xiatose,1115
0,31
00,12
uhkehse,82
yatohse,24
matyã,154
amatyã,8
namatyã,8
katose,38
hkatose,26
kano,174
area,119
zarea,119
ezarea,119
ipo,76
ripo,76
iripo,36
ãome,99
oãome,42
hkaneme,72
iame,91
riame,77
miame,9
emiame,9
remiame,9
okõke,115
rokõke,9
arokõke,9
okyme,35
nokyme,35
ãkaneme,134
erohxo,8
aerohxo,8
ekaro,81
roxi,28
aroxi,7
karoxi,7
esety,66
õmara,296
rõmara,296
orõmara,296
rase,235
hnanõ,643
uhnanõ,563
puhnanõ,538
htone,1098
ehtone,1043
itone,79
pitone,38
upitone,10
orikyry,613
papõko,19
apapõko,19
htoino,17
yhtoino,17
ãtã,44
amase,439
ramase,399
eramase,351
atohkõ,913
tatohkõ,666
epyno,357
sepyno,357
ãpara,11
nãpara,11
enãpara,11
rũkõ,662
erũkõ,662
nerũkõ,662
inerũkõ,662
yhtase,36
nyhtase,36
aeremã,14
myty,117
mimã,6
emimã,6
moxi,42
ĩme,303
yĩme,169
pyĩme,169
apyĩme,169
tapyĩme,50
urũ,118
kurũ,100
okane,90
tokane,8
utokane,8
wõtoko,7
pahtao,496
opahtao,496
akohxo,13
nakohxo,13
epukãko,10
nehno,24
mepyra,1329
omepyra,1308
nehko,84
õtoino,56
mỹpo,57
emỹpo,57
kemỹpo,37
õkemỹpo,9
ũtara,78
yhmako,30
ryhmako,30
õtona,12
arohne,63
karohne,63
imõse,376
ximõse,376
õximõse,376
etapãko,94
ãkapõko,422
myryae,99
amyryae,99
ãkatoh,57
rãkatoh,27
okãkomo,18
osẽme,161
ykyry,40
ymyrykõ,9
kunohse,178
ponanõ,86
iponanõ,8
ekapõko,70
purukõ,125
upurukõ,114
mahke,14
omahke,14
puhke,21
upuhke,21
ẽnase,72
rẽnase,72
orẽnase,72
anohse,856
nanohse,621
ahtyã,52
tahtyã,14
kyke,6
okyke,6
00me,140
eky,16
omõko,107
tyhpyry,387
pise,90
upise,90
ikary,98
nikary,18
enikary,10
anopyry,269
yrypyry,876
orõme,165
korõme,148
taneme,14
maneme,479
hmaneme,437
yko,107
tyko,100
ytyko,91
tytyko,91
ehxĩpo,286
oehxĩpo,16
nae,70
ixo,44
otomose,29
ãkako,103
rãkako,103
urãkako,103
uhpỹme,102
kuhpỹme,88
tinerũ,343
ião,155
rião,102
irião,102
eruke,186
neruke,180
ineruke,180
tome,691
otome,169
motome,169
amotome,169
enomo,76
oenomo,76
poenomo,48
osẽ,134
ypopyra,22
pehmary,66
nary,169
enary,7
senary,7
ehpyry,304
pehpyry,225
pehmako,34
tyrykõ,119
etyrykõ,26
aero,96
ihne,370
ho,21
aho,16
taho,16
htaho,16
ohtaho,10
nohtaho,10
tyoro,88
etyoro,16
setyoro,16
pũme,12
epũme,7
sepũme,7
ripose,360
yripose,360
irykomo,185
isã,224
xisã,220
ytary,49
pytary,16
ypytary,16
mukase,8
omukase,8
ytarykõ,65
otou,32
potou,21
opotou,10
ropotou,10
osary,24
atõme,178
patõme,137
epatõme,121
aropõko,191
onara,27
tonara,27
atonara,27
etome,126
oetome,126
mota,20
amota,14
kamota,14
moke,705
omoke,705
komoke,705
õkomoke,705
kamose,40
okamose,40
ehtase,25
oehtase,16
mokã,80
omokã,80
komokã,80
õkomokã,80
omyry,75
momyry,75
ytinerũ,152
utary,246
okãkõ,70
nokãkõ,70
nana,10
õtome,136
nõtome,136
onõtome,136
apõ,354
orõkõ,183
korõkõ,143
akorõkõ,115
yxirykõ,41
osarykõ,32
ymame,129
rymame,129
yrymame,129
tukõ,197
itukõ,197
mitukõ,197
amitukõ,197
hsehxo,48
uhsehxo,28
htatoko,87
iahtao,81
xiahtao,81
wykahme,45
uperyme,9
isasaka,98
hmãnõko,27
ohke,172
tohke,99
htohke,57
ohtohke,44
oneke,16
poneke,16
hponeke,16
kohmako,8
rohtyã,40
erohtyã,40
epyryae,117
mitu,75
amitu,75
tamitu,63
htamitu,31
erohse,184
oerohse,184
ymarokõ,376
ohsehxo,11
yrohse,7
emane,34
remane,14
eremane,14
mepyry,211
katou,24
ykatou,14
oxike,259
moxike,259
umoxike,259
maryke,414
hmaryke,225
oryke,366
roryke,257
aroryke,205
mae,217
emae,184
semae,120
ananomo,409
papory,64
apapory,64
pohnõko,107
pue,20
upue,20
etu,36
petu,6
hpetu,6
otunuru,222
zery,73
ozery,73
oozery,73
poozery,66
nyry,135
nekara,33
enekara,33
katyã,622
ekatyã,404
nekatyã,395
0mãkomo,67
aneke,62
maneke,26
hmaneke,26
eriko,48
otõkara,30
je,55
aje,21
paje,21
hpaje,21
ehpaje,21
era,162
wera,140
iwera,140
riwera,140
kataka,14
mẽtu,114
umẽtu,114
iary,44
riary,36
ariary,36
rariary,36
apukase,16
oketomo,128
epono,120
repono,110
arepono,100
naono,23
ãnaono,14
ahketõ,24
kahketõ,24
monanõ,113
amonanõ,99
amananõ,39
ahpose,37
pahpose,37
rimase,297
orimase,58
puruimo,52
ãkaryke,30
mahno,60
nãkõ,140
enãkõ,69
senãkõ,69
usenãkõ,33
ania,208
tania,84
etania,84
mehne,18
ẽmehne,18
nẽmehne,18
kokoro,452
okokoro,416
naro,51
onaro,37
ponaro,37
remãse,74
aremãse,24
uhko,174
nuhko,6
utorỹko,512
zuhtoko,66
zuhse,729
ezuhse,169
sezuhse,169
kue,105
ũkue,105
mũkue,105
umũkue,105
ohta,6
rohta,6
kĩme,80
ũkomo,29
mye,129
omye,125
aetoko,42
tatohpo,23
onaka,324
konaka,312
okonaka,312
ipohse,190
pipohse,190
kehxo,136
hkehxo,128
uhkehxo,128
ityã,364
seme,182
aseme,182
raseme,175
inanõ,100
apuru,38
kapuru,32
ikapuru,32
htyme,36
ihtyme,36
oihtyme,36
kure,36
ekure,21
sekure,10
hsekure,10
yzamaro,8
ipory,88
oipory,8
poipory,8
uhtohke,13
natohme,32
ẽnary,7
rẽnary,7
kose,209
okose,158
tokose,149
etokose,9
xitoko,64
axitoko,64
hmatyã,146
ahmatyã,93
erohtoh,170
pahpõkõ,69
uhketõ,29
tuhketõ,16
poke,192
upoke,192
natoh,59
ẽnatoh,48
rẽnatoh,48
yhtoko,73
myhtoko,8
utumã,250
kutumã,60
ukutumã,60
uporykõ,55
ruko,249
uruko,249
atinerũ,9
hmatoh,132
ehmatoh,27
uhsẽ,18
kuhsẽ,6
ehro,28
sehro,28
osehro,28
emamyry,145
ynomo,468
pynomo,468
hpynomo,448
nõke,63
enõke,63
oenõke,63
poenõke,63
õnỹpyry,24
uatohme,34
rõke,8
orõke,8
korõke,8
akorõke,8
apona,47
tapona,35
pytase,24
ypytase,24
imehxo,159
ximehxo,109
onato,116
ponato,95
aponato,95
ãkapose,815
otara,77
iotara,49
õae,166
kõae,166
hkõae,36
ohkõae,36
tohkõae,36
esemy,69
omirykõ,245
yrirykõ,208
imapõko,167
enepõko,45
oarõko,24
roarõko,24
etohme,120
netohme,120
htõko,262
ohtõko,20
pohtõko,20
pehtoh,42
apõkõme,79
atõ,270
patõ,178
epatõ,171
repatõ,171
orepatõ,171
ity,110
oity,58
moity,48
ipopyra,208
rõmãkõ,33
orõmãkõ,33
uhxo,130
tuhxo,105
etuhxo,105
tỹpo,234
ytỹpo,234
xeume,45
ixeume,45
rixeume,45
uohnõko,9
isemy,224
topo,349
utopo,35
rutopo,35
urutopo,35
rosẽ,54
arosẽ,48
karosẽ,48
okarosẽ,48
hkatoh,319
ahkatoh,169
yahkasẽ,8
arykomo,134
karykõ,418
hkarykõ,66
omã,40
romã,40
uromã,40
kuromã,40
ikuromã,40
hpĩko,6
rere,5
unety,86
tunety,86
etunety,24
ikane,20
rikane,8
urikane,8
rikãko,49
urikãko,49
rikara,22
urikara,22
yãkõ,145
tyãkõ,136
htyãkõ,43
ohtyãkõ,29
mutumã,190
imutumã,190
uriame,56
ẽtoh,53
nẽtoh,53
onẽtoh,53
tonẽtoh,32
ẽtohme,173
nẽtohme,173
tamuru,48
atamuru,9
akõme,165
matõkõ,21
hmatõkõ,10
ohtohkõ,189
ekomo,238
nekomo,238
anekomo,96
õtohkõ,20
mõtohkõ,20
karia,147
akaria,147
akia,7
rakia,7
arakia,7
yhto,81
otyã,522
potyã,184
opotyã,90
ropotyã,90
womary,29
poriry,121
aporiry,16
opikoxi,72
ãpome,32
tãpome,32
atãpome,32
etyme,752
ketyme,745
hketyme,129
ohkãko,33
tohkãko,33
oepyry,251
apoiry,74
tapoiry,37
meke,191
ekehxo,8
mekehxo,8
ahkary,119
nahkary,56
wyh,180
ywyh,180
kywyh,160
hkywyh,160
yhkywyh,160
itõko,114
pitõko,114
apitõko,83
upitory,22
imarykõ,276
ewokãko,81
ope,138
unopyry,183
nieu,30
anieu,30
tarãnao,33
opome,24
nopome,24
onopome,24
matohkõ,125
ahtory,48
nahtory,48
tõkõme,54
utõkõme,27
xipyra,196
tonẽse,24
õtonẽse,24
nehkane,66
koko,13
ikoko,8
pikoko,8
opikoko,8
reh,113
ereh,108
aereh,102
mu,159
umu,18
rumu,18
urumu,18
pokona,50
zehnõko,16
okety,174
tokety,152
etokety,9
asa,50
sasa,18
asasa,18
enanõ,70
nenanõ,70
ahpỹme,72
nahpỹme,72
yhtory,63
iotase,18
niotase,18
ymapose,12
ronõpo,51
aronõpo,51
nomõko,25
inomõko,18
yhpyra,116
iketyme,333
oneme,292
poneme,192
hponeme,43
yo,104
pyo,98
hpyo,98
ahpyo,98
sahpyo,98
esahpyo,56
nahtao,57
ynahtao,57
esẽ,51
ynahxo,80
kynahxo,80
ỹketõ,14
tỹketõ,14
ximãkõ,139
yximãkõ,27
ynara,171
oynara,73
moynara,34
ytatoh,42
inãkõ,71
rinãkõ,71
arinãkõ,71
iu,460
riu,285
hkynã,12
ukene,8
tukene,8
etukene,8
oa,191
noa,31
nakety,38
ẽnakety,27
etatose,109
aryse,6
kahse,257
ekahse,257
pekahse,257
emyry,48
semyry,33
esemyry,33
õxi,27
mõxi,27
omõxi,27
nomõxi,27
anomõxi,27
ohtãko,17
maryme,89
imaryme,22
mese,158
iãome,57
riãome,57
iriãome,48
ymano,71
rymano,71
yrymano,60
oihpõ,28
poihpõ,28
ihpono,50
oihpono,36
osemy,59
oiase,102
poiase,102
eny,153
riase,127
yriase,97
kuruke,38
okuruke,38
ymã,86
rymã,86
yrymã,70
pyrymã,70
hpyrymã,40
ykatyã,18
rykatyã,18
unu,88
runu,9
erunu,9
nerunu,9
inerunu,9
iahse,67
xiahse,67
exiahse,67
omãse,84
oitoko,96
poitoko,88
ryryke,10
yryryke,10
imõnõko,99
akary,180
iakary,82
piakary,82
oti,12
atyãme,253
katyãme,223
esary,60
roatose,78
okurume,16
onõme,72
tonõme,72
atonõme,72
matose,120
hmatose,107
upõme,24
enese,158
xohko,23
hxohko,23
ohxohko,11
ahxohko,12
õtõme,10
rõtõme,10
orõtõme,10
riatose,79
yhe,24
unara,117
punara,117
upunara,117
aohxo,16
taohxo,16
htaohxo,16
sene,1096
osene,455
tosene,395
atosene,339
pakehse,54
oame,63
koame,63
ikoame,63
xikoame,63
ipa,172
aipa,50
xiryme,35
uxiryme,10
otone,285
potone,201
apotone,25
yzehno,112
yrỹpyry,97
xturu,30
axturu,30
paxturu,30
remary,133
eremary,133
ẽtohpo,9
nẽtohpo,9
