nh,anh,panh,inh,n,an,pan,in,ix,a,h,pa,pah,p,mẽhp,s,wr,ixwr,awr,je,w,ixw,aw,jej,ak,k,amn,amnep,ahpa,xa,ko,nhỹ,amne,am,j
,,,,,,,,,ajo,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,htok,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,satok,,,,,,,,,,,,,,,,,,,
,,,,natã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jatã
,,,,,,,,ixãm,,,,,,,,,,,,,,,,,,,,,,,,,,
nhãm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akãm,,,,,,,,,,
,,,,,,,,,,,,,,mẽhpãm,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pãm,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,sãm,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kãm,,,,,,,,,
,,,,,,,,,,htũm,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,atũm,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixkaxyw,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pakaxyw,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,akaxyw,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pakaxyw,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amỳnh,
,,,inhỹr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,anhỹr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nhỹr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,inhỹr,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,anhỹr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nhỹr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,anhỹr,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kanrẽhã,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akanrẽhã,,,,,,,,,,
,,,,,,,,,,hte,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ate,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixte,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahte,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,axte,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kẽn,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,wẽn,,,,,,,,,,,,,,
,,,,,,,,,axpẽn,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,aptàr,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nywjaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pô,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hô,,,,,,,,,,,,,,,,,,,,,,,,
,anhô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kô,,,,,,,,,
,,,inhô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixô,,,,,,,,,,,,,,,,,,,,,,,,,,
nhô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,krô,,,,,,,,,
nhĩrô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nhĩrô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,konẽn,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amnẽ,
,,,,,,,,,anẽ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pixi,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hixi,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amẽnh,
,,,,,,,,ixrẽnh,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,parẽnh,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,arẽnh,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jarẽnh
,,,,,,,,,,,,,parẽnh,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,harẽnh,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,htor,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kator,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akator,,,,,,,,,,
,,,,,,,,,,,,,peja,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jujeja
,,,,,,,,,,,,,,,,,,,,,,,,,kir,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akir,,,,,,,,,,
,,,,,,,,,,,,,,,sir,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jarir
,,,,,,,,,,harir,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,anom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixkêt,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahkêt,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkêt,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,atujarô,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,htujarô,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixtujarô,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akrit,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,krit,,,,,,,,,
,,,,,,,,ixkrit,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,akrit,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkrit,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahkrit,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akukrit,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kukrit,,,,,,,,,
,,,,,,,,,akukrit,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkukrit,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixkukrit,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,sarõ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,karõ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akarõ,,,,,,,,,,
,,,,,anhmã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,inhmã,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,anhmã,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pẽr,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixpẽr,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahpẽr,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,apẽr,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hpẽr,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,axpẽr,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kỳx,,,,,,,,,
,,,,,,,,ixtỳx,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahtỳx,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,htỳx,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,atỳx,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nhãm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,aku,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ku,,,,,,,,,
,,,,,,,,,,,,,pu,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,htu,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,atu,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixtu,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,amnhĩx,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amnhĩx,
,,,,,,,,,amnhĩx,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kamnhĩx,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akamnhĩx,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,juje
,,,,nhĩ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,anhĩ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,inhĩ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,amnhĩ,,,,,,,,
,,,,,,panhĩ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,anhĩ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amnhĩ,
,,,,,,,,,,,panhĩ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,amnhĩ,,,,,,,,,,,,,,,,,,,,,,,,,
,,panhĩpêx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nhĩpêx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,anhĩpêx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,inhĩpêx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,panhĩpêx,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nhĩpêx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,anhĩpêx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,inhĩpêx,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hãn,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pure,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kure,,,,,,,,,
,,,,,,,,,,hture,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hipêx,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,panã,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,anã,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kênã,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kwỳjê,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akwỳjê,,,,,,,,,,
,,,,,,,,,,,,pahkwỳjê,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkwỳjê,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,akwỳjê,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixkwỳjê,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,korĩt,,,,
,,,,,,,,ixrĩt,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,parĩt,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,arĩt,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,amnhĩrĩt,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amnhĩrĩt,
,,,,,,,,,,,,,puma,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kuma,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akapẽr,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kapẽr,,,,,,,,,
,,,,,,,,,,,,,puj,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,punuj,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hpijaàm,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,apijaàm,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahpijaàm,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixpijaàm,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pymaj,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,katàt,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akatàt,,,,,,,,,,
,,,,,,,,,,,pakatàt,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixkatàt,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,akatàt,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pôt,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kôt,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akôt,,,,,,,,,,
,,,,,,,,,aga,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akaga,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kaga,,,,,,,,,
,,,,,,,,ixkaga,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahkaga,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,akaga,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkaga,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kumrẽx,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akumrẽx,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kàx,,,,,,,,,
,,,,,,,,ixkàx,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkàx,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,parja,,,,,,,,,,,,,,,,,,,,,,,
,anhỹrja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,anhỹrja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,anhỹrja,,,,,,,,,,,,,,,,,,,,,,,,,
nhõr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amõr,
,,,,,anõr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,anhõr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nõr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,ixwỳ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,awỳ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,wỳ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wrỳ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amỳ,
,,,,,,,,,,,,,,,,,,,,wrỳ,,,,,,,,,,,,,,
,,,,,,,,,axàn,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kuri,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akuri,,,,,,,,,,
,,,,,,,,ixwa,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kwa,,,,,,,,,
,,,,,,,,,,,,,prĩ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,krĩ,,,,,,,,,
,,,,,,,,,,,,,,mẽhprĩ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,arĩ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akrĩ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amar,
,,,,,,,,,,,,,,,,,,,,war,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,ixwar,,,,,,,,,,,,,
,,,,nar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,par,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jar
,,,,,,panoja,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hoja,,,,,,,,,,,,,,,,,,,,,,,,
,,,,noja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,koja,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jare
,,,,,,,,,,,,,pare,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,krare,,,,,,,,,
,,,,,,,,,,hkrare,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixkrare,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ato,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hto,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixto,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahto,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akato,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kato,,,,,,,,,
nhyre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,prêk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hprêk,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,aprêk,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixkôt,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkôt,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,akôt,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahkôt,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pahwỳr,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ahwỳr,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixunhwỳr,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,homnuj,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pytàr,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,apytàr,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixpytàr,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,papytàr,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,papytàr,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pyràk,,,,,,,,,,,,,,,,,,,,,
,anhỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,panhỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,inhỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nhỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,panhỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,anhỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,inhỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nhỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,inhõja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,anhõja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,panhõja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nhõja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hõja,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akagà,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kagà,,,,,,,,,
,,,,,,,inhma,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,amar,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pamar,,,,,,,,,,,,,,,,,,,,,,,
,,,inhmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,inhmar,,,,,,,,,,,,,,,,,,,,,,,,,,,
nhỹrmã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nhỹrmã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,já
,,,,,,panuew,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,panuew,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,panuew,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pahkôt,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pahkôt,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,arẽnhta,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,series,,,,,,,,,,,,,,,,,,,
,,,,,,,,,akato,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixkato,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pakato,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pajarẽnh,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ajarẽnh,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jareja
,,,,,,,,,,,,,,,,,,,,,,,,,kanhêti,,,,,,,,,
,,,,,,,,,,,,,,,studa,,,,,,,,,,,,,,,,,,,
,,,,nẽj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,perẽj,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,ixwej,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,awej,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,wej,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jutej
,,,,nhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,pahi,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pahi,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pox,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,jerox,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,amnhĩptàr,,,,,,,,
,,,,nũmja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,htũmja,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kaxkwa,,,,,,,,,
,,,,,,,,,axta,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,inhô,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,anhô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nhô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pumu,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akĩnh,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kĩnh,,,,,,,,,
,,,,,,,,,akĩnh,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixkĩnh,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hkĩnh,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,pahkĩnh,,,,,,,,,,,,,,,,,,,,,,
,,,,nywta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ajêt,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kêr,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jêr
,,,,,,,,,apêr,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,japêr
,,,,,,,,,,,,,,,,,,,,,,,,,kapêr,,,,,,,,,
,,,,,,,,,,hapêr,,,,,,,,,,,,,,,,,,,,,,,,
nhỹri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,nhỹri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,põnh,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kati,,,,,,,,,
,,,,,,,,,apkati,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixohtô,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,hohtô,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pôj,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,arẽ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,parẽ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixrẽ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,krẽ,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akrẽ,,,,,,,,,,
,,,,,,,,,,,,,,,sarẽ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,parẽ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jarẽ
,,,,,,,,,,harẽ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ajarẽ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,awjarẽ,,,,,,,,,,,,
,,,,,,,,,,,pajarẽ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,jerujarẽ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,pĩja,,,,,,,,,,,,,,,,,,,,,
,anhĩja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nhĩja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,inhĩja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,panhĩja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,krĩja,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kukjêr,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,akukjêr,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,kreta,,,,,,,,,
