ré,coro,da,d,wa,robzépa,ra,be,w,robzép,r,rataz,rata,cri,ucri,rat,cr,ucr
,,dahâiwa,,,,,,,,,,,,,,,
,,,,,,,,wahâiwa,,,,,,,,,
,,,dahâiwa,,,,,,,,,,,,,,
,,,,,,,,,,robaba,,,,,,,
,,dasire,,,,,,,,,,,,,,,
,,,,,,,,wedehu,,,,,,,,,
,,,,,,,,warob,,,,,,,,,
,,,darob,,,,,,,,,,,,,,
,,,,wasisa,,,,,,,,,,,,,
,,dasisa,,,,,,,,,,,,,,,
,,,,,,,,wapru,,,,,,,,,
,,,,,,,,wapo,,,,,,,,,
,,,dapo,,,,,,,,,,,,,,
,,,domora,,,,,,,,,,,,,,
,,,,,,,,,,rebâire,,,,,,,
,,,,wazahi,,,,,,,,,,,,,
,,dazahi,,,,,,,,,,,,,,,
,,,,,,,,,,robzahi,,,,,,,
,,,,wapibui,,,,,,,,,,,,,
,,dasisõwa,,,,,,,,,,,,,,,
,,,,wasisõwa,,,,,,,,,,,,,
,,,,,,,,,,râwim,,,,,,,
,,,,,,,,wadu,,,,,,,,,
,,,dadu,,,,,,,,,,,,,,
,,,,,,,bezebu,,,,,,,,,,
,,,,waprosi,,,,,,,,,,,,,
,,,,,,,,wapé,,,,,,,,,
,,dasani,,,,,,,,,,,,,,,
,,,dasani,,,,,,,,,,,,,,
,,,,wanhitob,,,,,,,,,,,,,
,,danhitob,,,,,,,,,,,,,,,
,,,,,,,,wedepo,,,,,,,,,
,,,,wanhi,,,,,,,,,,,,,
,,danhi,,,,,,,,,,,,,,,
,,,,wazép,,,,,,,,,,,,,
,,,,,,,,wazép,,,,,,,,,
,,,,,,,,,,reptõ,,,,,,,
,,,,wawawã,,,,,,,,,,,,,
,,,,wawana,,,,,,,,,,,,,
,,dawana,,,,,,,,,,,,,,,
,,,,,,,,,,ropese,,,,,,,
,,,,,,ratazém,,,,,,,,,,,
,,,,,robzépatazém,,,,,,,,,,,,
,,,,watazém,,,,,,,,,,,,,
,,,,,,,,,,ratazém,,,,,,,
,,,,,,,,,robzépatazém,,,,,,,,
,,,,,,,,watazém,,,,,,,,,
,,dasazém,,,,,,,,,,,,,,,
,,,,wasazém,,,,,,,,,,,,,
,,,dasazém,,,,,,,,,,,,,,
,,,,,,,,wasazém,,,,,,,,,
,,,,,,,,,,rep,,,,,,,
,,,,,,,,wazi,,,,,,,,,
,,,duréi,,,,,,,,,,,,,,
,,danhipai,,,,,,,,,,,,,,,
,,,,wanhipai,,,,,,,,,,,,,
,,,,,,,,wétési,,,,,,,,,
,,dazadâ,,,,,,,,,,,,,,,
,,,dazadâ,,,,,,,,,,,,,,
,,,,warizém,,,,,,,,,,,,,
,,,,,,,,,,,,,,,ratap,,
,,,,,,,,wap,,,,,,,,,
,,dapesezé,,,,,,,,,,,,,,,
,,,,,,,,,,rehâ,,,,,,,
,,,,,,,,wairé,,,,,,,,,
,,,,,,,bezebuhu,,,,,,,,,,
,,,,wanhimi,,,,,,,,,,,,,
,,danhimi,,,,,,,,,,,,,,,
,,,,,,,,waipo,,,,,,,,,
,,,,,,,,wawasu,,,,,,,,,
,,,dawasu,,,,,,,,,,,,,,
,,,,wanhipré,,,,,,,,,,,,,
,,,dazari,,,,,,,,,,,,,,
,,,,,,,,wazari,,,,,,,,,
,,datozém,,,,,,,,,,,,,,,
,,,,watozém,,,,,,,,,,,,,
,,,,,,,,,,romhutu,,,,,,,
,,danhibro,,,,,,,,,,,,,,,
,,,,wanhibro,,,,,,,,,,,,,
,,daburu,,,,,,,,,,,,,,,
,,,,wanhotõ,,,,,,,,,,,,,
,,danhotõ,,,,,,,,,,,,,,,
,,,,,,,,wanhotõ,,,,,,,,,
,,,danhotõ,,,,,,,,,,,,,,
,,,,,,,,wano,,,,,,,,,
,,,,wapuzé,,,,,,,,,,,,,
,,,,,,,,wapuzé,,,,,,,,,
,,,dupto,,,,,,,,,,,,,,
,,,daburu,,,,,,,,,,,,,,
,,,danhope,,,,,,,,,,,,,,
,,dazani,,,,,,,,,,,,,,,
,,,,wazani,,,,,,,,,,,,,
,,,dazani,,,,,,,,,,,,,,
,,,,,,,,wazani,,,,,,,,,
,,,,watizéb,,,,,,,,,,,,,
,,,,,,,,,,rotizéb,,,,,,,
,,,,,,,,,,renho,,,,,,,
,,,,,,,,waprosi,,,,,,,,,
,,,duiroi,,,,,,,,,,,,,,
,,,,,,,,,,ropéi,,,,,,,
,,,,,,,,warõ,,,,,,,,,
,,,,,,,,wapahi,,,,,,,,,
,,,dapahi,,,,,,,,,,,,,,
,,dazadari,,,,,,,,,,,,,,,
,,,,wazadari,,,,,,,,,,,,,
,,,,wasiwawã,,,,,,,,,,,,,
,,dazéptâ,,,,,,,,,,,,,,,
,,,,wanhimro,,,,,,,,,,,,,
,,danhimro,,,,,,,,,,,,,,,
,,,,wadub,,,,,,,,,,,,,
,,dadub,,,,,,,,,,,,,,,
,,,,,,,,wadub,,,,,,,,,
,,,dadub,,,,,,,,,,,,,,
,,dasipãri,,,,,,,,,,,,,,,
,,dazarina,,,,,,,,,,,,,,,
,,,,wazarina,,,,,,,,,,,,,
,,,,,,,,,,rãte,,,,,,,
,,,,wapuzém,,,,,,,,,,,,,
,,,,,,,,wapuzém,,,,,,,,,
,,,,,,,,,,ridi,,,,,,,
,,,dumana,,,,,,,,,,,,,,
,,,,,,,,,,repudu,,,,,,,
,,,,,,,,,,reputu,,,,,,,
,,,,,,,,wabre,,,,,,,,,
,,,,wasisaze,,,,,,,,,,,,,
,,dasisaze,,,,,,,,,,,,,,,
,,,,wapawa,,,,,,,,,,,,,
,,dapawa,,,,,,,,,,,,,,,
,,,dapawa,,,,,,,,,,,,,,
,,,,,,,,wapawa,,,,,,,,,
,,,dazazém,,,,,,,,,,,,,,
,,,,,,,,,,ropoto,,,,,,,
,,,,,,,,,,rosawi,,,,,,,
,,,,wapté,,,,,,,,,,,,,
,,,,,,,,,,reptuzé,,,,,,,
,,dasipara,,,,,,,,,,,,,,,
,,,,wasipara,,,,,,,,,,,,,
,,,,,,,,wisizém,,,,,,,,,
,,,,,,,,wisizé,,,,,,,,,
,,,,wasisizé,,,,,,,,,,,,,
,,,,,,,,wawana,,,,,,,,,
,,,dawana,,,,,,,,,,,,,,
,,,,wasine,,,,,,,,,,,,,
,,dasine,,,,,,,,,,,,,,,
,,,,,,,,wawada,,,,,,,,,
,,,dawada,,,,,,,,,,,,,,
,,,,,,,,wairob,,,,,,,,,
,,,,wazada,,,,,,,,,,,,,
,,dazada,,,,,,,,,,,,,,,
,,,,,,,,wazada,,,,,,,,,
,,,dazada,,,,,,,,,,,,,,
,,,,waptoma,,,,,,,,,,,,,
,,,,,,,,waptoma,,,,,,,,,
,,,,,,,,,,repore,,,,,,,
,,,,wasihu,,,,,,,,,,,,,
,,,,,,,,wasihu,,,,,,,,,
,,,,wanem,,,,,,,,,,,,,
,,,,,,,,wanem,,,,,,,,,
,,darõno,,,,,,,,,,,,,,,
,,,darõno,,,,,,,,,,,,,,
,,,,,,,,,,romhõsi,,,,,,,
,,,,,,,betãnha,,,,,,,,,,
,,,,,,,,wamari,,,,,,,,,
,,,,,,,,,,ronomro,,,,,,,
,,,,,,,,watizéb,,,,,,,,,
,,,,,,,,,,rãsudu,,,,,,,
,,,,,,,,,,romhâpâ,,,,,,,
,,,,watazéb,,,,,,,,,,,,,
,,,,,,ratazéb,,,,,,,,,,,
,,,,,,,,watazéb,,,,,,,,,
,,,,,,,,,,ratazéb,,,,,,,
,,,,wasazéb,,,,,,,,,,,,,
,,dasazéb,,,,,,,,,,,,,,,
,,,,,,,,wasazéb,,,,,,,,,
,,,dasazéb,,,,,,,,,,,,,,
,,dawawa,,,,,,,,,,,,,,,
,,dabâsi,,,,,,,,,,,,,,,
,,,,wabâsi,,,,,,,,,,,,,
,,,dabâsi,,,,,,,,,,,,,,
,,,,,,,,wabâsi,,,,,,,,,
,,dasisawi,,,,,,,,,,,,,,,
,,,,wasisawi,,,,,,,,,,,,,
,,,,,,,,,,rézém,,,,,,,
,,danhoihi,,,,,,,,,,,,,,,
,,,dup,,,,,,,,,,,,,,
,,,,,,,,wapire,,,,,,,,,
,,,dapire,,,,,,,,,,,,,,
,,,dawapte,,,,,,,,,,,,,,
,,,,,,,,wesuirã,,,,,,,,,
,,,,,,,,warizém,,,,,,,,,
,,,,,,,,wawip,,,,,,,,,
,,,,wamrizéb,,,,,,,,,,,,,
,,,,,,,,,,rupu,,,,,,,
,,,,,,,,,,ropupu,,,,,,,
,,,dasisô,,,,,,,,,,,,,,
,,,dapra,,,,,,,,,,,,,,
,,,,,,,,wãtari,,,,,,,,,
,,,,wazaze,,,,,,,,,,,,,
,,dazaze,,,,,,,,,,,,,,,
,,,,,,,,wazaze,,,,,,,,,
,,,dazaze,,,,,,,,,,,,,,
,,,,,,,,,,robzawi,,,,,,,
,,,,,,,,wapti,,,,,,,,,
,,dazapari,,,,,,,,,,,,,,,
,,,,waptém,,,,,,,,,,,,,
,,,,wamhi,,,,,,,,,,,,,
,,danhorõ,,,,,,,,,,,,,,,
,,,datoi,,,,,,,,,,,,,,
,,,,,,,,watoi,,,,,,,,,
,,,,,,,,,,rubu,,,,,,,
,,dapibu,,,,,,,,,,,,,,,
,,,,wapibu,,,,,,,,,,,,,
,,,,wasipo,,,,,,,,,,,,,
,,dasipo,,,,,,,,,,,,,,,
,,,dasipo,,,,,,,,,,,,,,
,,,,,,,,wasipo,,,,,,,,,
,coropasihi,,,,,,,,,,,,,,,,
,,,,,,,,wazahi,,,,,,,,,
,,,dazahi,,,,,,,,,,,,,,
,,,,,,,,wedewa,,,,,,,,,
,,,duptoi,,,,,,,,,,,,,,
,,,,wanhipi,,,,,,,,,,,,,
,,danhipi,,,,,,,,,,,,,,,
,,,,,,,,wanhipi,,,,,,,,,
,,,danhipi,,,,,,,,,,,,,,
,,,dapãri,,,,,,,,,,,,,,
,,,,,,,,wapãri,,,,,,,,,
,,dawara,,,,,,,,,,,,,,,
,,,,wawara,,,,,,,,,,,,,
,,,,,,,,wawara,,,,,,,,,
,,,dawara,,,,,,,,,,,,,,
,,,,,,,,wasisa,,,,,,,,,
,,,dasisa,,,,,,,,,,,,,,
,,,,,,,,wasine,,,,,,,,,
,,,dasine,,,,,,,,,,,,,,
,,,,,,,,,,rãti,,,,,,,
,,dawapa,,,,,,,,,,,,,,,
,,,,,,,,,,ruiwapa,,,,,,,
,,,,,,,,,,reti,,,,,,,
,,,,waprui,,,,,,,,,,,,,
,,,,,,,,waprui,,,,,,,,,
,,,,wawaprui,,,,,,,,,,,,,
,,dawaprui,,,,,,,,,,,,,,,
,,,,,,,,,,rosazâ,,,,,,,
,,,dodota,,,,,,,,,,,,,,
,,,,,,,,,,rãihi,,,,,,,
,,,,wawai,,,,,,,,,,,,,
,,,,,,,,wanari,,,,,,,,,
,,,,,,,,,,rema,,,,,,,
,,,,wapsõmri,,,,,,,,,,,,,
,,,,,,,,,,reba,,,,,,,
,,,dumidu,,,,,,,,,,,,,,
,,,darési,,,,,,,,,,,,,,
,,,danhimi,,,,,,,,,,,,,,
,,,,,,,,wanhimi,,,,,,,,,
,,damrozé,,,,,,,,,,,,,,,
,,,,,,,,wawib,,,,,,,,,
,,,,,,,,waptu,,,,,,,,,
,,,,,,,,,,réwi,,,,,,,
,,,,,,,,,,réwihi,,,,,,,
,,dasimasa,,,,,,,,,,,,,,,
,,,,,,,,,,rotété,,,,,,,
,,,,,,,,,,rowim,,,,,,,
,,,,wahubzé,,,,,,,,,,,,,
,,,,,,,,wahubzé,,,,,,,,,
,,,,,,,,,,rãmib,,,,,,,
,,,,,,,,wedezém,,,,,,,,,
,,danomo,,,,,,,,,,,,,,,
,,,danomo,,,,,,,,,,,,,,
,,,,wasétére,,,,,,,,,,,,,
,,,deredu,,,,,,,,,,,,,,
,,,,,,,,,,risiza,,,,,,,
,,,,,,,,wedezai,,,,,,,,,
,,,,,,,,,,repu,,,,,,,
,,,,,,,,,,repuru,,,,,,,
,,,,wanhoto,,,,,,,,,,,,,
,,danhoto,,,,,,,,,,,,,,,
,,,,,,,,wairo,,,,,,,,,
,,damanuta,,,,,,,,,,,,,,,
,,,,,,,,,,rino,,,,,,,
,,,,wahidiba,,,,,,,,,,,,,
,,,,,,ratamhã,,,,,,,,,,,
,,,,,,,,,,ratamhã,,,,,,,
,,,,wasihui,,,,,,,,,,,,,
,,,,,,,,wasihui,,,,,,,,,
,,,,wazabu,,,,,,,,,,,,,
,,dazabu,,,,,,,,,,,,,,,
,,,,,,,,,,robzabu,,,,,,,
,,,dapipa,,,,,,,,,,,,,,
,,,,wanhowa,,,,,,,,,,,,,
,,danhowa,,,,,,,,,,,,,,,
,,,,,,,,wanhowa,,,,,,,,,
,,,danhowa,,,,,,,,,,,,,,
,,dasitob,,,,,,,,,,,,,,,
,,,,,,,,,,rãnhipa,,,,,,,
,,,dazabui,,,,,,,,,,,,,,
,,,,,,,,,,rupuhu,,,,,,,
,,,,,,,,,,rucasi,,,,,,,
,,dabrizé,,,,,,,,,,,,,,,
,,,dabrizé,,,,,,,,,,,,,,
,,,,,,,,wapté,,,,,,,,,
,,,,waptéb,,,,,,,,,,,,,
,,,,,,,,waptéb,,,,,,,,,
,,dawaptom,,,,,,,,,,,,,,,
,,,,waprédu,,,,,,,,,,,,,
,,,,,,,,warazé,,,,,,,,,
,,,,wahup,,,,,,,,,,,,,
,,,,,,,,wahup,,,,,,,,,
,,darizuhu,,,,,,,,,,,,,,,
,,,,,,,,,,roptâi,,,,,,,
,,,,,,,,,,rezaha,,,,,,,
,,,dadihi,,,,,,,,,,,,,,
,,,,,,rameti,,,,,,,,,,,
,,,,,,,,,,rameti,,,,,,,
,,,,,,rametihi,,,,,,,,,,,
,,darere,,,,,,,,,,,,,,,
,,,,warere,,,,,,,,,,,,,
,,,darere,,,,,,,,,,,,,,
,,,,,,,,warere,,,,,,,,,
,,dasipese,,,,,,,,,,,,,,,
,,,,,,,,,,robâdâ,,,,,,,
,,,dazéptâ,,,,,,,,,,,,,,
,,,,,,,,,,ropti,,,,,,,
,,,,,,,,,,ropto,,,,,,,
,,dawazari,,,,,,,,,,,,,,,
,,,,,,,,,,robze,,,,,,,
,,,,wapahâ,,,,,,,,,,,,,
,,dapahâ,,,,,,,,,,,,,,,
,,,,,,,,wawai,,,,,,,,,
,,dazaihâ,,,,,,,,,,,,,,,
,,dasiwa,,,,,,,,,,,,,,,
,,,dasitob,,,,,,,,,,,,,,
,,,,wapézé,,,,,,,,,,,,,
,,,,,,,,wapézé,,,,,,,,,
,,,,wamiri,,,,,,,,,,,,,
,,,,,,,,wamiri,,,,,,,,,
,,,,wapsa,,,,,,,,,,,,,
,,,,,,,,wapsa,,,,,,,,,
,,,,,,,,,,romhu,,,,,,,
,,,,waparizé,,,,,,,,,,,,,
,,,,,,,,,,rinhito,,,,,,,
,,,,wazarizé,,,,,,,,,,,,,
,,,,,,,,,,ruiwa,,,,,,,
,,dawapu,,,,,,,,,,,,,,,
,,,dawapu,,,,,,,,,,,,,,
,,,,,,,,,,ropsisa,,,,,,,
,,,,,,razaru,,,,,,,,,,,
,,,,,,,,,,razaru,,,,,,,
,,,,wasétézé,,,,,,,,,,,,,
,,,,wawazéb,,,,,,,,,,,,,
,,daduri,,,,,,,,,,,,,,,
,,,daduri,,,,,,,,,,,,,,
,,,,,,,,,,reptã,,,,,,,
,,,,,,,,,,robzari,,,,,,,
,,,,,,,,,,rãipo,,,,,,,
,,dawapru,,,,,,,,,,,,,,,
,,,dawapru,,,,,,,,,,,,,,
,,,,,,,,wanhi,,,,,,,,,
,,,danhi,,,,,,,,,,,,,,
,,,,,,,,wapibu,,,,,,,,,
,,,dapibu,,,,,,,,,,,,,,
,,,dawapa,,,,,,,,,,,,,,
,,,,wazuwa,,,,,,,,,,,,,
,,dazuwa,,,,,,,,,,,,,,,
,,,,,,,,wazuwa,,,,,,,,,
,,,dazuwa,,,,,,,,,,,,,,
,,,dawawa,,,,,,,,,,,,,,
,,,damori,,,,,,,,,,,,,,
réwita,,,,,,,,,,,,,,,,,
,,,,,,,,,,réwita,,,,,,,
,,,damrozé,,,,,,,,,,,,,,
,,damrozém,,,,,,,,,,,,,,,
,,dazate,,,,,,,,,,,,,,,
,,,dazate,,,,,,,,,,,,,,
,,,,,,,,,,rica,,,,,,,
,,,,,,,betezata,,,,,,,,,,
,,,,,,,,wapahâ,,,,,,,,,
,,,dapahâ,,,,,,,,,,,,,,
,,darop,,,,,,,,,,,,,,,
,,,darop,,,,,,,,,,,,,,
,,,datozéb,,,,,,,,,,,,,,
,,,,,,,,watozém,,,,,,,,,
,,,datozém,,,,,,,,,,,,,,
,,dasitõmo,,,,,,,,,,,,,,,
,,,didimo,,,,,,,,,,,,,,
,,,,,,,betanha,,,,,,,,,,
,,,,,,razaruhu,,,,,,,,,,,
,,,,wahum,,,,,,,,,,,,,
,,,,,,,,wahum,,,,,,,,,
,,dasisõi,,,,,,,,,,,,,,,
,,,dasisõi,,,,,,,,,,,,,,
,,,,,,,,,,rotizép,,,,,,,
,,,,waptép,,,,,,,,,,,,,
,,,,,,,,waptép,,,,,,,,,
,,dasipibu,,,,,,,,,,,,,,,
,,,,,,,,,,rãsitõ,,,,,,,
,,danhiwãi,,,,,,,,,,,,,,,
,,,,,,,,,,rãime,,,,,,,
,,,datozé,,,,,,,,,,,,,,
,,dabata,,,,,,,,,,,,,,,
,,,dabata,,,,,,,,,,,,,,
,,,,,,raboni,,,,,,,,,,,
,,,,,,,,,,raboni,,,,,,,
,,,,,,,,,,rãzé,,,,,,,
,,,,wawãzé,,,,,,,,,,,,,
,,,,,,,,wawãzé,,,,,,,,,
,,damarizé,,,,,,,,,,,,,,,
,,,,,,,,,,roptéb,,,,,,,
,,,,watawa,,,,,,,,,,,,,
,,,,,,,,watawa,,,,,,,,,
,,damasitu,,,,,,,,,,,,,,,
,,,,,,,,,,rida,,,,,,,
,,,,waptâp,,,,,,,,,,,,,
,,,,,,,,waptâp,,,,,,,,,
,,,docasi,,,,,,,,,,,,,,
,,darizu,,,,,,,,,,,,,,,
,,,,,,,,wairi,,,,,,,,,
,,,,,,,,,,ropodo,,,,,,,
,,,,,,,,,,robrã,,,,,,,
,,,,,,,,,,rusizu,,,,,,,
,,,,,,,,,,renem,,,,,,,
,,,,,,,,,,ridiza,,,,,,,
,,,dazaihâ,,,,,,,,,,,,,,
,,,derebi,,,,,,,,,,,,,,
,,,,,,,,,,rebzu,,,,,,,
,,,,,,,,,,robdi,,,,,,,
,,,,,,,,waneb,,,,,,,,,
,,,,,,,,,,romreme,,,,,,,
,,,,wanebzé,,,,,,,,,,,,,
,,,,,,,,wanebzé,,,,,,,,,
,,darasiza,,,,,,,,,,,,,,,
,,,,,,,,wapré,,,,,,,,,
,,damarisi,,,,,,,,,,,,,,,
,,,,,,,,,,,,,crisipu,,,,
,,,,wasipu,,,,,,,,,,,,,
,,dasipu,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,crisipu,
,,,,,,,,wãiwab,,,,,,,,,
,,,darizu,,,,,,,,,,,,,,
,,,,,,ratab,,,,,,,,,,,
,,,,,,,,,,ratab,,,,,,,
,,,,,,,,wazabu,,,,,,,,,
,,,dazabu,,,,,,,,,,,,,,
,,,dahãsi,,,,,,,,,,,,,,
,,,,,,,,,,robzâri,,,,,,,
,,dawarõtâ,,,,,,,,,,,,,,,
,,,,waimri,,,,,,,,,,,,,
,,,,,,,,waimri,,,,,,,,,
,,,,wawaimri,,,,,,,,,,,,,
,,dawaimri,,,,,,,,,,,,,,,
,,,,,,,,,,ritéi,,,,,,,
,,,,,,,,,,rene,,,,,,,
,,,,,,,,,,ropire,,,,,,,
,,,,waprédup,,,,,,,,,,,,,
,,,dawari,,,,,,,,,,,,,,
,,,,,,,,,,reneb,,,,,,,
,,,,,,,,wapâ,,,,,,,,,
,,,,,,,,,,rodisi,,,,,,,
,,,,wasisõpe,,,,,,,,,,,,,
,,,,,,,,,,rãpari,,,,,,,
,,,dasiwa,,,,,,,,,,,,,,
,,dasimana,,,,,,,,,,,,,,,
,,,,,,,,,,romno,,,,,,,
,,,,,,,berenisi,,,,,,,,,,
,,dasimapa,,,,,,,,,,,,,,,
,,,,,,,,,,rãzadâ,,,,,,,
,,,,,,,,,,ropibu,,,,,,,
,,,,,,,,,,rowapõ,,,,,,,
,,,,,,raséza,,,,,,,,,,,
,,,,,,,,,,raséza,,,,,,,
,,,,,,,,,,ribiza,,,,,,,
,,,,,,,,,,renep,,,,,,,
,,,,,,,,,,rehaipo,,,,,,,
,,,,,,,,,,rowahâ,,,,,,,
,,,,,,ratai,,,,,,,,,,,
,,,,,,,,,,ratai,,,,,,,
,,dazawizé,,,,,,,,,,,,,,,
,,,,,,,,wanhoto,,,,,,,,,
,,,danhoto,,,,,,,,,,,,,,
,,,,,,,,,,rãmip,,,,,,,
,,,,wahubzéb,,,,,,,,,,,,,
,,,,wanheme,,,,,,,,,,,,,
,,danheme,,,,,,,,,,,,,,,
,,,,,,,,wanheme,,,,,,,,,
,,,danheme,,,,,,,,,,,,,,
,,,,,,,,,,râwimhã,,,,,,,
,,,,,,,,wawab,,,,,,,,,
,,,,,,,,,,rãnhito,,,,,,,
,,,dasire,,,,,,,,,,,,,,
,,,,,,,,,,repese,,,,,,,
,,,,,,,,,,roptede,,,,,,,
,,,,,,,,wasipu,,,,,,,,,
,,,dasipu,,,,,,,,,,,,,,
,,dasisõpa,,,,,,,,,,,,,,,
,,,,,,,,,,romnhi,,,,,,,
,,,,wasisabu,,,,,,,,,,,,,
,,,,wawapure,,,,,,,,,,,,,
,,,damana,,,,,,,,,,,,,,
,,,,,,,,wamana,,,,,,,,,
,,,,,,,,wawazéb,,,,,,,,,
,,,,,,,,waptém,,,,,,,,,
,,,,,,,,,,ropsu,,,,,,,
,,,,,,,,,,râwip,,,,,,,
,,,,wanhimhã,,,,,,,,,,,,,
,,,,,,,,,,rowazéb,,,,,,,
,,,,,,,,,,repsi,,,,,,,
,,,,,,,,,,robduma,,,,,,,
,,,,wanhiséb,,,,,,,,,,,,,
,,danhiséb,,,,,,,,,,,,,,,
,,,,wazaprõ,,,,,,,,,,,,,
,,,,,,,,wazaprõ,,,,,,,,,
,,dazâmori,,,,,,,,,,,,,,,
,,,,,,,,,,robzâ,,,,,,,
,,,,,,,,waprédu,,,,,,,,,
,,,,wapsãi,,,,,,,,,,,,,
,,,,,,,,wapsãi,,,,,,,,,
,,daprédub,,,,,,,,,,,,,,,
,,,,waprédub,,,,,,,,,,,,,
,,,,,,,,wapibui,,,,,,,,,
,,,,,,,,,,rãzaza,,,,,,,
,,,,,,,,,,ropézé,,,,,,,
,,,,wasihawi,,,,,,,,,,,,,
,,,,,,radiseza,,,,,,,,,,,
,,,danhorõ,,,,,,,,,,,,,,
,,,,wazabâdâ,,,,,,,,,,,,,
,,,,wapatâ,,,,,,,,,,,,,
,,,,,,,,wapatâ,,,,,,,,,
,,,,wasipa,,,,,,,,,,,,,
,,,,,,,,wasipa,,,,,,,,,
,,,,,,,,,,ropibui,,,,,,,
,,,,,,,,,,rebzui,,,,,,,
,,,,wairobzé,,,,,,,,,,,,,
,,,,warahu,,,,,,,,,,,,,
,,,,,,,,warahu,,,,,,,,,
,,,,wazababa,,,,,,,,,,,,,
,,,,wamhâri,,,,,,,,,,,,,
,,,,,,,,wamhâri,,,,,,,,,
,,,demasi,,,,,,,,,,,,,,
,,damasiza,,,,,,,,,,,,,,,
,,,,,,,,wawawã,,,,,,,,,
,,,,,,,,wedehâ,,,,,,,,,
,,,,wanhowab,,,,,,,,,,,,,
,,,,,,,,,,rebâi,,,,,,,
,,dazahui,,,,,,,,,,,,,,,
,,,dazahui,,,,,,,,,,,,,,
,,,,,,,,wãiwa,,,,,,,,,
,,dasiwã,,,,,,,,,,,,,,,
,,,dasiwã,,,,,,,,,,,,,,
,,,,,,,,,,rãdâ,,,,,,,
,,,,,,,,wairõ,,,,,,,,,
,,,,,,,,,,ruza,,,,,,,
,,,,,,,,,,rowazép,,,,,,,
,,,,,,,,,,rãpo,,,,,,,
,,,,,,ratap,,,,,,,,,,,
,,,,,,,,,,ratap,,,,,,,
,,,,,,,,,,rowib,,,,,,,
,,,,,,,,,,romhâi,,,,,,,
,,,,,,,,,,ridawab,,,,,,,
,,,,,,,,,,rube,,,,,,,
,,,,,,,,wamhi,,,,,,,,,
,,dahâzub,,,,,,,,,,,,,,,
,,,dahâzub,,,,,,,,,,,,,,
,,,dawasi,,,,,,,,,,,,,,
,,,,,,,,,,rowimhã,,,,,,,
,,,,,,,,,,rãiwati,,,,,,,
,,dahâpré,,,,,,,,,,,,,,,
,,,dahâpré,,,,,,,,,,,,,,
,,dasisoto,,,,,,,,,,,,,,,
,,,,,,,,,,rãire,,,,,,,
,,,,,,ratahi,,,,,,,,,,,
,,,,,,,,,,ratahi,,,,,,,
,,,,,,,,,,rebzâri,,,,,,,
