sime,bal,d,da,le,a,ab,ku,i,o,su,je,kuy,m,ma,cekawẽ,jekawẽ,ekawẽ,om,im,wuyed,mat,cekaw,jekaw,ekaw,cr,ceka,jeka,eka,c,j
,,,,,akap,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,kukap,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,omuy,,,,,,,,,,,,,,,,,,,,,
,,,,,amuy,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,imuy,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jeju
,,,,,,,,,,,jeeju,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeweju,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oweju,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jewurũg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jewurũg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cebe,
,,,,,,,,,,,jepo,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jepo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cepo,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jeweju
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ceweju,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,judéia
,,,,,,,,ibuje,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cĩcãayũ,
,,,,,,,,,,,,,,,,,,,,,matusalém,,,,,,,,,
,,,,,,,,ita,,,,,,,,,,,,,,,,,,,,,,
,,,,,ata,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuap,
,,,,,,,,,,,,,muap,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeuap,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ojuap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jejuap,,,,,,,,,,,,,,,,,,,
,,,,,,,,ijuap,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,mujuap,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jujuap
,,,,,acã,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cĩcã,
,,,,,,,kukuk,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ikuk,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,okuk,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jekuk,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jukuk
,,,,,amap,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,omap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jẽmap
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cẽmap,
,,,,,ajẽmap,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ijẽmap,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jejẽmap,,,,,,,,,,,,,,,,,,,
,,,,,ace,,,,,,,,,,,,,,,,,,,,,,,,,
,,,dace,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oce,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ioce,,,,,,,,,,,,,,,,,,,,,,
,,doce,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oku,,,,,,,,,,,,,,,,,,,,,
,,,,,,,kuku,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,iku,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeku,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oeku,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ceku,
,,,,,,abeku,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeeku,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jeku
,,,,,,,,,,,jejo,,,,,,,,,,,,,,,,,,,
,,,,,ajo,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ojo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ijo,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jojo
,,,,,ajojo,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ijojo,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jejojo,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ojojo,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ika,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oka,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,suka,,,,,,,,,,,,,,,,,,,,
,,,,,,,kuka,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeka,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jeka
,,,,,,,,,oceka,,,,,,,,,,,,,,,,,,,,,
,,,,,aru,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,iwaru,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,icaat,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ibacaat,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ocajẽm,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,obuyxi,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ibuyxi,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,imubuyxi,,,,,,,,,,,
,,,,,,,,,,,,,mubuyxi,,,,,,,,,,,,,,,,,
,,,,,,,,,obi,,,,,,,,,,,,,,,,,,,,,
,,,,,abi,,,,,,,,,,,,,,,,,,,,,,,,,
,,,dabi,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ibi,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jebi,,,,,,,,,,,,,,,,,,,
,,dabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jabi
,,,,,,,,ibabi,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jebabi,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jepaĩyũ,,,,,,,,,,,,,,,,,,,
,,,,,,,kukukayũ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ikukayũ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jekukayũ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,moisés,,,,,,,,,,,,,,,,,
,,,,,,,,ibin,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jebin,,,,,,,,,,,,,,,,,,,
,,,,,,,,iero,,,,,,,,,,,,,,,,,,,,,,
,,,,,awero,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,inaẽ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,onaẽ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jenaẽ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,omunaẽ,,,,,,,,,,,,
,,,,,,,,,omunaẽ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jemunaẽ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,omuyku,,,,,,,,,,,,
,,,,,,,,,omuyku,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,iboap,,,,,,,,,,,,,,,,,,,,,,
,,,,,,abog,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cog,
,,,,,,,,,obog,,,,,,,,,,,,,,,,,,,,,
,,,,,abog,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,mubog,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeum,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cum,
,,,daum,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,mujum,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,omujum,,,,,,,,,,,,
,,,,,,,,,,,,,mujujum,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,imujujum,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,omujujum,,,,,,,,,,,,
,,,,,,,,ikabog,,,,,,,,,,,,,,,,,,,,,,
,,,,,aoka,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,iboka,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,omuju,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,imuju,,,,,,,,,,,
,,,,,,,,,,,,,muju,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jeipi
,,dig,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,abig,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,adam,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jadam
,,,dadadam,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,kudadam,,,,,,,,,,,,,,,,,,,,,,,
,,,,,adadam,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,abik,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,axik,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixik,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oxik,,,,,,,,,,,,,,,,,,,,,
,,,daxik,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,subuxik,,,,,,,,,,,,,,,,,,,,
,,dobuxik,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jawẽg
,,,,,,,,,,,jeawẽg,,,,,,,,,,,,,,,,,,,
,,,,,ayawẽg,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oyawẽg,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,owebe,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jewebe,,,,,,,,,,,,,,,,,,,
,,,,,axin,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ibuyxin,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cucum,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cewap,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jewap
,,,,,,,,,,,jeok,,,,,,,,,,,,,,,,,,,
,,,,,,,,iok,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jok
,,,,,,,,,,,jecokcok,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ocokcok,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,icokcok,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ijom,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ojom,,,,,,,,,,,,,,,,,,,,,
,,,,,ajom,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jojom
,,,,,,,,ijojom,,,,,,,,,,,,,,,,,,,,,,
,,,,,ajojom,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ojojom,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jecũ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jecũ
,,,,,,,,,,,jedaecũ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jedaecũ
,,,,,ase,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,aõm,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,iõm,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeõm,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oõm,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jojojo
,,,,,aecõg,,,,,,,,,,,,,,,,,,,,,,,,,
,,dopabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,kuybut,,,,,,,,,,,,,,,,,,
,,,,,,,,,oubut,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jebubut,,,,,,,,,,,,,,,,,,,
,,,,,,,,ibubut,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,obubut,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jebubut
,,domudip,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ibubun,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jebubun,,,,,,,,,,,,,,,,,,,
,,,,,,,,,obubun,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ouro,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,irut,,,,,,,,,,,,,,,,,,,,,,
,,,darut,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,darut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oũm,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeũm,,,,,,,,,,,,,,,,,,,
,,,,,,,,iũm,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,iatup,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,kuyatup,,,,,,,,,,,,,,,,,,
,,,,,,,,,oatup,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,odup,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jexet,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixet,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jexet
,,,,,,,,,,,jepit,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jepit
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cepit,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cexey,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jexey
,,,,,,,,,,,jenapõn,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cenapõn,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jenapõn
,,,,,,,,,oito,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ipa,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jepa,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,mupa,,,,,,,,,,,,,,,,,
,,dujupa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,otujupa,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jaku
,,,,,,,,ikam,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,kukam,,,,,,,,,,,,,,,,,,,,,,,
,,,,,aokam,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oaokam,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jaokam
,,,,,,,,ixima,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,cekaxima,,,,
,,,,,axima,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jetait,,,,,,,,,,,,,,,,,,,
,,,,,,,,itait,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ipot,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,okpot,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jekpot,,,,,,,,,,,,,,,,,,,
,,,,,,,,,otomuwã,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,imucũg,,,,,,,,,,,
,,,,,,,,,,,,,mucũg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cama,
,,,,,,,,,otõn,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,iren,,,,,,,,,,,,,,,,,,,,,,
,,,,,aren,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oren,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ire,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ore,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jere,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,mucok,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jenaxeg,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jenaxeg
,,,,,aripit,,,,,,,,,,,,,,,,,,,,,,,,,
,,dujupit,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,imẽnpit,,,,,,,,,,,
,,,,,,,,imẽnpit,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,iparara,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oparara,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeparara,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jekukan,,,,,,,,,,,,,,,,,,,
,,,,,,,kukukan,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ikukan,,,,,,,,,,,,,,,,,,,,,,
,,dieg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,aliléia,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,abeat,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,kuyjeat,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jejeat,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ekabia,,
,,,,,,,,idi,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,jekadi,,,
,,,,,,,,,odi,,,,,,,,,,,,,,,,,,,,,
,,,,,adi,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,iodi,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,juacat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jere
,,,,,,,,,opere,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jepere,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cepere,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jepere
,,,,,,,,,,,jeyepere,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,omug,,,,,,,,,,,,
,,,,,,abug,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,imug,,,,,,,,,,,
,,,,,,,,,,,,,mug,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cug,
,,,,,,,,,onap,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,ekawẽnap,,,,,,,,,,,,,
,,,,,anap,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,kukanap,,,,,,,,,,,,,,,,,,,,,,,
,,dao,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ijoceyũ,,,,,,,,,,,,,,,,,,,,,,
,,,,,asu,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,osu,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,isu,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oceju,,,,,,,,,,,,,,,,,,,,,
,,,,,aceju,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jekay,,,,,,,,,,,,,,,,,,,
,,,,,,,,,okay,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,cekaykay,,,,
,,,,,,,,itakoma,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jetakoma,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cĩcãat,
,,,,,,,,,,,jexixim,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jekũyjo,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,mukũyjo,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,imukũyjo,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,omukũyjo,,,,,,,,,,,,
,,,,,,,,,,,jeybu,,,,,,,,,,,,,,,,,,,
,,,,,apu,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,atpu,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,iatpu,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ipik,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,jekapik,,,
,,,,,,,,,,,,,mupik,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,imupik,,,,,,,,,,,
,,,,,ajoiat,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,apeku,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,asũ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ajoat,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,iãn,,,,,,,,,,,,,,,,,,,,,,
,,,,,adag,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cedag,
,,,,,,,,iwag,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jewag,,,,,,,,,,,,,,,,,,,
,,,,,,,,,owag,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jewag
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cewag,
,,,,,,,,,oxat,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jexat,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixat,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jexat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cexat,
,,,,,,,,,,,jewexat,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,imuwexat,,,,,,,,,,,
,,,,,,,,,,,,,muwexat,,,,,,,,,,,,,,,,,
,,,,,ayũm,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeyũm,,,,,,,,,,,,,,,,,,,
,,,,,,,,ibiyũm,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jekay
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cekay,
,,,,,,,,iayũm,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,suayũm,,,,,,,,,,,,,,,,,,,,
,,,,,axĩn,,,,,,,,,,,,,,,,,,,,,,,,,
,,dakat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,daxa,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,daxa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,omuju,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jemuju,,,,,,,,,,,,,,,,,,,
,,,,,,,,imuju,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jenomuju,,,,,,,,,,,,,,,,,,,
,,,,,,,,,onomuju,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jebodi,,,,,,,,,,,,,,,,,,,
,,,,,,,,,obodi,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ibodi,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,oca,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,obaca,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ibaca,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jebeam,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jebeam
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cebeam,
,,,,,,,,,,,,,muka,,,,,,,,,,,,,,,,,
,,,,,,,,idibi,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,ixee,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,iata,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,matata,,,,,,,,,
,,,,,,,,,,,,,,matata,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,imujẽm,,,,,,,,,,,
,,,,,,,,,,,,,mujẽm,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,omujẽm,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,jekapikpig,,,
,,,,,apikpig,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,acayũ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jeejẽm,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jejẽm
,,,,,,,,,,,jeedop,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jedop
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jeedop
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jeu
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ceu,
,,,,,,,,ikoce,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jekoce,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jekoce
,,,,,,,,,obiõg,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jebiõg,,,,,,,,,,,,,,,,,,,
,,,,,,,,ibiõg,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,opinput,,,,,,,,,,,,,,,,,,,,,
,,,daxijo,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jekõn,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jekõnkõn,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jĩjã
,,,,,,,,itabẽg,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jekum,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,jekukum,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jekukum
,,,,,atka,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,iatka,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,ekawẽnap,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ekawẽnap,,
,,,,,,,,,,,,,,,,,ekawẽnwẽnap,,,,,,,,,,,,,
,,,,,,,,ibo,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,subo,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ceje,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jeje
,,,,,,,,inat,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,cekawẽnat,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jomõg
